Time,ID,Latitude,Longitude,Wind Angle,Pressure,Humidity,Temperature
2025-02-12 11:23:06,4,0.0,0.0,44.0,1013.63,32.81,19.35
2025-02-12 11:23:09,4,0.0,0.0,46.0,1013.62,32.98,19.5
2025-02-12 11:23:12,4,0.0,0.0,167.0,1013.6,32.77,19.51
2025-02-12 11:23:15,4,0.0,0.0,65.0,1013.61,33.01,19.48
2025-02-12 11:23:18,4,0.0,0.0,49.0,1013.62,33.02,19.57
2025-02-12 11:23:21,4,0.0,0.0,46.0,1013.6,33.19,19.56
2025-02-12 11:23:24,4,0.0,0.0,283.0,1013.6,33.17,19.49
2025-02-12 11:23:27,4,0.0,0.0,240.0,1013.62,33.1,19.5
2025-02-12 11:23:30,4,0.0,0.0,206.0,1013.62,33.29,19.63
2025-02-12 11:23:36,4,0.0,0.0,204.0,1013.58,33.1,19.81
2025-02-12 11:23:39,4,0.0,0.0,309.0,1013.58,32.96,19.66
2025-02-12 11:23:42,4,0.0,0.0,293.0,1013.6,32.63,19.47
2025-02-12 11:23:45,4,0.0,0.0,299.0,1013.57,32.75,19.52
2025-02-12 11:23:49,4,0.0,0.0,300.0,1013.56,32.69,19.59
2025-02-12 11:23:52,4,0.0,0.0,299.0,1013.55,32.38,19.48
2025-02-12 11:23:55,4,0.0,0.0,329.0,1013.55,32.45,19.33
2025-02-12 11:23:58,4,0.0,0.0,328.0,1013.59,32.44,19.51
2025-02-12 11:24:01,4,0.0,0.0,303.0,1013.58,32.53,19.5
2025-02-12 11:24:04,4,0.0,0.0,315.0,1013.56,32.78,19.22
2025-02-12 11:24:07,4,37.863312,-122.31344,309.0,1013.56,32.99,19.25
2025-02-12 11:24:10,4,37.863304,-122.31347,312.0,1013.56,33.1,19.22
2025-02-12 11:24:13,4,37.863319,-122.31351,258.0,1013.51,33.41,18.99
2025-02-12 11:24:16,4,37.863304,-122.31348,250.0,1013.56,33.5,19.11
2025-02-12 11:24:19,4,37.863289,-122.31345,256.0,1013.58,33.76,19.19
2025-02-12 11:24:22,4,37.86327,-122.31342,257.0,1013.52,34.14,18.89
2025-02-12 11:24:25,4,37.863251,-122.3134,237.0,1013.55,34.37,18.86
2025-02-12 11:24:28,4,37.863239,-122.31342,221.0,1013.54,34.33,18.92
2025-02-12 11:24:31,4,37.863228,-122.31341,251.0,1013.54,34.68,18.9
2025-02-12 11:24:34,4,37.863228,-122.31342,263.0,1013.53,34.48,18.52
2025-02-12 11:24:37,4,37.863235,-122.31337,252.0,1013.57,34.39,18.29
2025-02-12 11:24:40,4,37.863235,-122.31336,242.0,1013.52,34.82,18.51
2025-02-12 11:24:43,4,37.863235,-122.31339,273.0,1013.58,34.88,18.39
2025-02-12 11:24:47,4,37.863239,-122.31338,256.0,1013.56,34.73,18.16
2025-02-12 11:24:50,4,37.863239,-122.31339,205.0,1013.55,34.46,18.25
2025-02-12 11:24:53,4,37.863243,-122.31336,290.0,1013.55,34.14,18.1
2025-02-12 11:24:56,4,37.863247,-122.31335,207.0,1013.52,34.25,18.19
